"","studyName","Lat","Long","impactScore","impact"
"1","Barrett",-41.88,148.31,1.788059,"yes"
"2","Barrett",-41.873,148.315,2.051604,"yes"
"3","Barrett",-42.61,148.035,19.008144,"yes"
"4","Barrett",-42.632,147.956,23.79915,"yes"
"5","Barrett",-43.049,147.35,-9999,"no"
"6","Barrett",-43.057,147.34,-9999,"no"
"10","Bedford",34.01,-118.534,8.398367,"yes"
"11","Bedford",34.005,-118.537,8.558231,"yes"
"12","Bedford",34.0172,-118.536,8.504943,"yes"
"13","BeetsFried03",18.322,-64.688,11.529838,"yes"
"14","Beldade",38.457,-9.002,28.753616,"yes"
"15","Beukema",52.931,4.863,4.709627,"yes"
"16","BIOMON",52.335,4.447,4.232295,"yes"
"17","BIOMON",55.12,3.366,10.65277,"yes"
"18","BIOMON",52.886,3.96,4.168294,"yes"
"19","BIOMON",54.031,3.981,10.409722,"yes"
"20","Birchenough",55.156,-1.426,-9999,"no"
"21","Birchenough",55.144,-1.45,-9999,"no"
"22","Birchenough",55.033,-1.35,19.603954,"yes"
"23","Birchenough",55.011,-1.325,17.431885,"yes"
"24","Birkeland",48.551,-123.005,10.78626,"yes"
"25","Bollens",37.847,-122.333,33.947784,"yes"
"26","Bollens",38.053,-122.313,7.59321,"yes"
"27","Bollens",37.57,-122.191,-9999,"no"
"28","Carballo",23.238,-106.471,11.628918,"yes"
"29","Cardoso",40.123,-8.836,-9999,"no"
"30","Cardoso",40.129,-8.845,-9999,"no"
"31","Cardoso",40.132,-8.851,-9999,"no"
"32","Deidun",35.953,14.428,13.824142,"yes"
"33","Deidun",35.9703,14.386,12.978481,"yes"
"34","Deidun",36.019,14.2897,30.923624,"yes"
"35","Dittmann",-18.274,146.085,-9999,"no"
"36","Dittmann",-18.321,146.148,-9999,"no"
"37","Dupont",27.561,-83.006,3.75954,"yes"
"38","Edmunds",18.308,-64.722,13.121386,"yes"
"39","Edmunds",18.311,-64.723,13.231437,"yes"
"40","Edmunds",18.317,-64.73,13.322548,"yes"
"41","Edmunds",18.317,-64.721,12.689117,"yes"
"42","Edmunds",18.317,-64.728,13.181786,"yes"
"43","Edmunds",18.314,-64.731,13.716427,"yes"
"44","Elahi",48.605,-123.092,15.547422,"yes"
"45","Elahi",48.559,-122.988,13.007646,"yes"
"46","Elahi",48.551,-123.005,10.78626,"yes"
"47","Frid2009",55.117,-1.333,16.24115,"yes"
"48","FriedBeets08",18.315,-64.76,15.69211,"yes"
"49","FriedBeets08",18.315,-64.726,13.249367,"yes"
"50","FriedHawaii",22.21,-159.51,-9999,"no"
"51","Gooday",49,-16.5,10.686893,"yes"
"52","Goodwin",37.2225,-76.385,-9999,"no"
"54","Hall",54.987,-1.496,-9999,"no"
"55","Hall",55.012,-1.424,-9999,"no"
"56","Hall",54.97,-1.588,-9999,"no"
"57","Hall",54.966,-1.689,-9999,"no"
"58","Hall",54.988,-1.452,-9999,"no"
"59","Hawkins",13.837,-61.076,11.955782,"yes"
"60","Hawkins",13.837,-61.076,11.955782,"yes"
"61","HernandezMiranda",-36.535,-72.95,32.49715,"yes"
"62","Hidalgo",-23.017,-70.442,10.700494,"yes"
"63","IbarraObando",31.72,-116.655,7.919018,"yes"
"64","IbarraObando",31.722,-116.651,7.775503,"yes"
"65","IMOS",-12.417,130.783,19.601778,"yes"
"66","IMOS",-33.9333,121.85,19.917681,"yes"
"67","IMOS",-35.836,136.448,8.303452,"yes"
"68","IMOS",-42.597,148.233,16.635843,"yes"
"69","IMOS",-27.389,153.58,12.983903,"yes"
"70","IMOS",-34.1192,151.2267,14.137523,"yes"
"71","IMOS",-32,115.417,14.111713,"yes"
"72","IMOS",-19.306,147.26,5.225043,"yes"
"73","IMOS",-21.871,113.947,13.685914,"yes"
"74","Ivanov",66.215,33.92,-9999,"no"
"75","Ivanov",66.215,33.92,-9999,"no"
"76","Jones",-35.373,150.431,20.256567,"yes"
"77","Jones",-36.025,150.127,-9999,"no"
"78","Jones",-35.26,150.462,4.842898,"yes"
"79","Jones",-34.524,150.834,-9999,"no"
"80","Jones",-35.124,150.611,-9999,"no"
"81","Jones",-36.369,150.058,-9999,"no"
"85","KelmoForam",-12.64,-38.04,6.550378,"yes"
"86","KelmoInv",-12.642,-38.042,6.659662,"yes"
"87","KelmoSponge",-12.641,-38.041,6.605,"yes"
"88","KFMP",34.022367,-120.387467,7.153189,"yes"
"89","KFMP",33.989833,-119.563067,9.538308,"yes"
"90","KFMP",34.00775,-119.434383,6.294096,"yes"
"91","KFMP",34.015867,-119.371733,5.525175,"yes"
"92","KFMP",34.017033,-119.361133,5.549365,"yes"
"93","KFMP",33.466117,-119.027783,5.771437,"yes"
"94","KFMP",33.487533,-119.027583,5.778156,"yes"
"95","KFMP",33.464417,-119.039167,6.092979,"yes"
"96","KFMP",34.064383,-120.3566,-9999,"no"
"97","KFMP",34.0237,-120.395133,7.2177,"yes"
"98","KFMP",33.923033,-120.187367,4.110781,"yes"
"99","KFMP",33.90855,-120.155533,5.179406,"yes"
"100","KFMP",33.900367,-120.135667,5.947092,"yes"
"101","KFMP",33.892333,-120.1195,6.571805,"yes"
"102","KFMP",34.044883,-119.601267,19.101606,"yes"
"103","KFMP",34.052167,-119.582117,20.896152,"yes"
"104","KFMP",34.054283,-119.566867,19.261242,"yes"
"105","KFMP",34.04415,-119.54245,14.914249,"yes"
"106","KFMP",33.901467,-120.102967,7.210685,"yes"
"107","KFMP",34.038367,-119.5253,12.402758,"yes"
"108","KFMP",34.016417,-119.432017,6.410592,"yes"
