OBJECTID *,studyName,Lat,Long_,Shape *,Impact Score
1,Barrett,-41.88,148.31,Point,1.788059
2,Barrett,-41.873,148.315,Point,2.051604
3,Barrett,-42.61,148.035,Point,19.008144
4,Barrett,-42.632,147.956,Point,23.79915
5,Barrett,-43.049,147.35,Point,-9999
6,Barrett,-43.057,147.34,Point,-9999
7,Bebars,31.251,30.21,Point,5.839626
8,Bebars,31.321,32.069,Point,-9999
9,Bebars,31.481,30.838,Point,-9999
10,Bedford,34.01,-118.534,Point,8.398367
11,Bedford,34.005,-118.537,Point,8.558231
12,Bedford,34.0172,-118.536,Point,8.504943
13,BeetsFried03,18.322,-64.688,Point,11.529838
14,Beldade,38.457,-9.002,Point,28.753616
15,Beukema,52.931,4.863,Point,4.709627
16,BIOMON,52.335,4.447,Point,4.232295
17,BIOMON,55.12,3.366,Point,10.65277
18,BIOMON,52.886,3.96,Point,4.168294
19,BIOMON,54.031,3.981,Point,10.409722
20,Birchenough,55.156,-1.426,Point,-9999
21,Birchenough,55.144,-1.45,Point,-9999
22,Birchenough,55.033,-1.35,Point,19.603954
23,Birchenough,55.011,-1.325,Point,17.431885
24,Birkeland,48.551,-123.005,Point,10.78626
25,Bollens,37.847,-122.333,Point,33.947784
26,Bollens,38.053,-122.313,Point,7.59321
27,Bollens,37.57,-122.191,Point,-9999
28,Carballo,23.238,-106.471,Point,11.628918
29,Cardoso,40.123,-8.836,Point,-9999
30,Cardoso,40.129,-8.845,Point,-9999
31,Cardoso,40.132,-8.851,Point,-9999
32,Deidun,35.953,14.428,Point,13.824142
33,Deidun,35.9703,14.386,Point,12.978481
34,Deidun,36.019,14.2897,Point,30.923624
35,Dittmann,-18.274,146.085,Point,-9999
36,Dittmann,-18.321,146.148,Point,-9999
37,Dupont,27.561,-83.006,Point,3.75954
38,Edmunds,18.308,-64.722,Point,13.121386
39,Edmunds,18.311,-64.723,Point,13.231437
40,Edmunds,18.317,-64.73,Point,13.322548
41,Edmunds,18.317,-64.721,Point,12.689117
42,Edmunds,18.317,-64.728,Point,13.181786
43,Edmunds,18.314,-64.731,Point,13.716427
44,Elahi,48.605,-123.092,Point,15.547422
45,Elahi,48.559,-122.988,Point,13.007646
46,Elahi,48.551,-123.005,Point,10.78626
47,Frid2009,55.117,-1.333,Point,16.24115
48,FriedBeets08,18.315,-64.76,Point,15.69211
49,FriedBeets08,18.315,-64.726,Point,13.249367
50,FriedHawaii,22.21,-159.51,Point,-9999
51,Gooday,49,-16.5,Point,10.686893
52,Goodwin,37.2225,-76.385,Point,-9999
53,Greenwood,56.035,-3.586,Point,-9999
54,Hall,54.987,-1.496,Point,-9999
55,Hall,55.012,-1.424,Point,-9999
56,Hall,54.97,-1.588,Point,-9999
57,Hall,54.966,-1.689,Point,-9999
58,Hall,54.988,-1.452,Point,-9999
59,Hawkins,13.837,-61.076,Point,11.955782
60,Hawkins,13.837,-61.076,Point,11.955782
61,HernandezMiranda,-36.535,-72.95,Point,32.49715
62,Hidalgo,-23.017,-70.442,Point,10.700494
63,IbarraObando,31.72,-116.655,Point,7.919018
64,IbarraObando,31.722,-116.651,Point,7.775503
65,IMOS,-12.417,130.783,Point,19.601778
66,IMOS,-33.9333,121.85,Point,19.917681
67,IMOS,-35.836,136.448,Point,8.303452
68,IMOS,-42.597,148.233,Point,16.635843
69,IMOS,-27.389,153.58,Point,12.983903
70,IMOS,-34.1192,151.2267,Point,14.137523
71,IMOS,-32,115.417,Point,14.111713
72,IMOS,-19.306,147.26,Point,5.225043
73,IMOS,-21.871,113.947,Point,13.685914
74,Ivanov,66.215,33.92,Point,-9999
75,Ivanov,66.215,33.92,Point,-9999
76,Jones,-35.373,150.431,Point,20.256567
77,Jones,-36.025,150.127,Point,-9999
78,Jones,-35.26,150.462,Point,4.842898
79,Jones,-34.524,150.834,Point,-9999
